truck	loaded
car	backed
tyranny	overthrow
eligible	allowed
capability	adversary
proceeds	advocate
reimburse	affordable
considerably	alternatives
adequate	amount
total	annual
allocate	appoint
inspector	assessments
preferred	calculate
quarter	compensate
interrupt	consistent
shortage	critical
verify	deficit
amend	deficit
calculate	curtail
announce	accomplish
interested	accomplished
active	adjust
accept	adjustment
foresee	agree
relocate	agreement
contribute	arrange
considerable	audition
prospective	backup
separation	banquet
