lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,add_meaning_ids
abandon,abandon#1624 | abandon#52418,,abandon,1624,52418,
abstract,abstract#2058 | abstract#52341,,abstract,2058,52341,
acceptance,acceptance#11422 | acceptance#52104,,acceptance,11422,52104,
accomplish,accomplish#6985 | accomplish#52069,,accomplish,6985,52069,
accumulate,accumulate#7375 | accumulate#52419,,accumulate,7375,52419,
accurate,accurate#2389 | accurate#52438,,accurate,2389,52438,
actively,actively#26742 | actively#52092,,actively,26742,52092,
adjunct,adjunct#8482 | adjunct#52132,,adjunct,8482,52132,
admire,admire#686 | admire#52457,,admire,686,52457,
admission,admission#2768 | admission#51993,,admission,2768,51993,
adverse,adverse#2289 | adverse#52210 | adverse#52252 | adverse#52300,,adverse,2289,"52210,52252,52300",
africa,africa#16308 | Africa#33990,Y,Africa,33990,16308,
african,african#2209 | African#33989,Y,African,33989,2209,
alan,Alan#50066 | alan#50301,Y,Alan,50066,50301,
alma,Alma#30019 | alma#48888,Y,Alma,30019,48888,
alter,alter#1633 | alter#52439,,alter,1633,52439,
ambiguity,ambiguity#7284 | ambiguity#52264 | ambiguity#52312,,ambiguity,7284,"52264,52312",
america,america#5343 | America#33985,Y,America,33985,5343,
amy,amy#28454 | Amy#50197,Y,Amy,50197,28454,
analyze,analyze#1635 | analyze#52321,,analyze,1635,52321,
anatomy,anatomy#3827 | anatomy#52043,,anatomy,3827,52043,
andy,andy#16970 | Andy#50214,Y,Andy,50214,16970,
annie,annie#36268 | Annie#50138,Y,Annie,50138,36268,
announce,announce#421 | announce#52055,,announce,421,52055,
antarctic,antarctic#16476 | Antarctic#34368,Y,Antarctic,34368,16476,
antarctica,Antarctica#35141 | antarctica#51872,Y,Antarctica,35141,51872,
anticipate,anticipate#908 | anticipate#52440,,anticipate,908,52440,
apache,Apache#30024 | apache#43979,Y,Apache,30024,43979,
approach,approach#267 | approach#52322,,approach,267,52322,
appropriate,appropriate#573 | appropriate#52441,,appropriate,573,52441,
architect,architect#9737 | architect#52074,,architect,9737,52074,
architecture,architecture#6981 | architecture#51977,,architecture,6981,51977,
article,article#2737 | article#52223,,article,2737,52223,
ashley,ashley#48895 | Ashley#50148,Y,Ashley,50148,48895,
asia,asia#16309 | Asia#34003,Y,Asia,34003,16309,
aspect,aspect#3187 | aspect#52363,,aspect,3187,52363,
aspiration,aspiration#12372 | aspiration#52320,,aspiration,12372,52320,
assume,assume#182 | assume#52323,,assume,182,52323,
attribute,attribute#1886 | attribute#52045 | attribute#52364,,attribute,1886,"52045,52364",
auction,auction#2733 | auction#51962 | auction#52052,,auction,2733,"51962,52052",
audrey,audrey#12950 | Audrey#49967,Y,Audrey,49967,12950,
avoid,avoid#429 | avoid#52093,,avoid,429,52093,
awareness,awareness#7498 | awareness#52000,,awareness,7498,52000,
biocompatibility,biocompatibility#51684 | biocompatibility#51703,,biocompatibility,51684,51703,
biopsy,biopsy#51695 | biopsy#51705,,biopsy,51695,51705,
braces,braces#51605 | braces#51634,,braces,51605,51634,
breakthrough,breakthrough#8775 | breakthrough#52041,,breakthrough,8775,52041,
brian,brian#35483 | Brian#50199,Y,Brian,50199,35483,
