rep_voca_id,merge_voca_ids,add_meaning_ids
16690,"43953",
11108,"40866",
51527,"52769",
22755,"40807",
26957,"35212",
36630,"33503",
27504,"36960",
23748,"39081",
41268,"50635",
53706,"34981",
16022,"40870",
10138,"36001",
12900,"33949",
7603,"29457",
37075,"39576",
27849,"43950",
26667,"53759",
14441,"16900",
17242,"33464",
54167,"36759",
16531,"16712",
1258,"28391",
29219,"37287",
43718,"52527",
32713,"55031",
9021,"26840",
15409,"52524",
44480,"37593",
23518,"48875",
44858,"41152",
26985,"31259",
39834,"50621",
36203,"33519",
50822,"53538",
21798,"43699",
9318,"26709",
23998,"28127",
40643,"51549",
33287,"54388",
32421,"54739",
3244,"47591",
9690,"28319",
14052,"40366",
35163,"51566",
28142,"47698",
37431,"52476",
14273,"35469",
8501,"48907",
39298,"54573",
14591,"39059",
16869,"47541",
26724,"52965",
35446,"55126",
26969,"54061",
31221,"45992",
31056,"54931",
10146,"27001",
16997,"26924",
38466,"50647",
53891,"31152",
41754,"39565",
54775,"53797",
54346,"30665",
55017,"35648",
11184,"33742",
14751,"32716",
28130,"54206",
40861,"39572",
16247,"34707",
27684,"29299",
27723,"47692",
32019,"53546",
52787,"34691",
2732,"32256",
16014,"36722",
31355,"40868",
53814,"34982",
27040,"53004",
20449,"50582",
53693,"36047",
23580,"32335",
27067,"55079",
12494,"48476",
20979,"15747",
27292,"29868",
48507,"48542",
29295,"49120",
4422,"34702",
12784,"39093",
10352,"51324",
45905,"49875",
43700,"45421",
7224,"43779",
12362,"53041",
18529,"48768",
5179,"35732",
5388,"35279",
5340,"37502",
28134,"33505",
33145,"41147",
21035,"39278",
18574,"27854",
31501,"33636",
20329,"47593",
29495,"39577",
19265,"51574",
21912,"45899",
33538,"40260",
9819,"28586",
35398,"45577",
51533,"53012",
31916,"33641",
34224,"36407",
30105,"36408",
21937,"9494",
34068,"53963",
13009,"48122",
13417,"33032",
29302,"54286",
53974,"53005,34662",
37158,"36772",
934,"34953",
42376,"48877",
33247,"54950",
10097,"33322",
32320,"27591",
17069,"48886",
9053,"35211,26945",
34618,"46309",
27878,"39090",
39544,"40752",
28532,"50364",
7277,"43502",
35493,"34059",
34667,"54918",
32974,"40127",
35636,"54151",
25273,"42752",
50602,"36795",
28659,"53198",
30741,"30687",
53667,"53854",
4579,"28588",
19299,"39122",
8935,"34569",
4101,"31936",
36918,"33481",
39418,"39605",
1252,"52951",
24647,"39143",
30634,"38428",
26653,"26972",
18303,"41141",
28828,"46018",
35254,"50785",
31408,"53626",
35602,"54077",
3211,"28935",
30828,"32455",
3270,"33539",
26855,"52602",
34619,"53563",
52511,"53056",
37794,"50511",
1183,"32456",
10092,"53601",
35885,"55058",
21969,"34593",
36921,"50594",
36290,"54112",
52784,"53788",
16242,"34558",
27397,"51352",
31171,"34601",
51597,"52924",
