rep_voca_id,merge_voca_ids,add_meaning_ids
16690,43953,115386
11108,40866,
51527,52769,
22755,40807,"108715,108716"
26957,35212,
36630,33503,92956
27504,36960,100317
23748,39081,104884
41268,50635,"128814,128815"
53706,34981,"96229,96230"
16022,40870,108959
10138,36001,"98306,102043,108954"
12900,33949,"94095,94096,95510"
7603,29457,"84594,84595,84596,107245"
37075,39576,105936
27849,43950,115382
26667,53759,
14441,16900,"52413,52415"
17242,33464,92926
54167,36759,"99837,99838"
16531,16712,"51964,51965"
1258,28391,"118691,122947,126009,136713"
29219,37287,101020
43718,52527,
32713,55031,141322
9021,26840,102039
15409,52524,134909
44480,37593,
23518,48875,
44858,41152,109540
26985,31259,"87933,87935"
39834,50621,128783
36203,33519,
50822,53538,"138847,138848"
21798,43699,114887
9318,26709,"78661,87165,87166,96665,105949,105950,105951,120279,120280,120281"
23998,28127,"81523,83701,83702,100358"
40643,51549,"131500,131501,131502"
33287,54388,
32421,54739,
3244,47591,122890
9690,28319,"81946,119342,119343,126754,127418"
14052,40366,107666
35163,51566,131614
28142,47698,
37431,52476,135130
14273,35469,97168
8501,48907,125547
39298,54573,140909
14591,39059,104926
16869,47541,122772
26724,52965,"136687,136688"
35446,55126,141509
26969,54061,
31221,45992,119528
31056,54931,141231
10146,27001,
16997,26924,"78798,128407"
38466,50647,"128869,128870"
53891,31152,"87700,87701,87702"
41754,39565,105920
54775,53797,139334
54346,30665,"86573,86574,86575"
55017,35648,"97465,97466,97467,97468,97469,97471,97472"
11184,33742,
14751,32716,"107178,107179"
28130,54206,
40861,39572,105929
16247,34707,"95652,105010"
27684,29299,"84237,108771,108772,112776"
27723,47692,123146
32019,53546,138867
52787,34691,"95604,95605,95606"
2732,32256,90136
16014,36722,99763
31355,40868,"108956,108957"
53814,34982,"96231,96232,96233"
27040,53004,"136852,136853"
20449,50582,"128696,128697,128802,128803"
53693,36047,98382
23580,32335,"90311,90312"
27067,55079,141418
12494,48476,124713
20979,15747,49781
27292,29868,85276
48507,48542,124800
29295,49120,125977
4422,34702,"95656,96904,113364"
12784,39093,"104901,104902"
10352,51324,130939
45905,49875,"127568,127569,127570"
43700,45421,118469
7224,43779,115047
12362,53041,"136972,136973"
18529,48768,125318
5179,35732,97714
5388,35279,"96709,97713"
5340,37502,101341
28134,33505,
33145,41147,
21035,39278,"105679,105680"
18574,27854,
31501,33636,93286
20329,47593,
29495,39577,105938
19265,51574,131620
21912,45899,119335
33538,40260,107325
9819,28586,82592
35398,45577,118703
51533,53012,"136891,136892"
31916,33641,93294
34224,36407,99090
30105,36408,99091
21937,9494,
34068,53963,
13009,48122,
13417,33032,92089
29302,54286,"3924,140556"
53974,"53005,34662","95544,95545,95546,136854,136855"
37158,36772,"99864,99865"
934,34953,
42376,48877,125483
33247,54950,
10097,33322,92574
32320,27591,80445
17069,48886,125500
9053,"35211,26945",
34618,46309,120215
27878,39090,104897
39544,40752,130317
28532,50364,"128322,128323"
7277,43502,
35493,34059,"94129,95451"
34667,54918,"5099,24873"
32974,40127,"107172,107173,107174,107175,107176,128683,128684,128685"
35636,54151,506
25273,42752,112917
50602,36795,"99936,99937,99938"
28659,53198,137734
30741,30687,86624
53667,53854,139492
4579,28588,97044
19299,39122,105036
8935,34569,95340
4101,31936,
36918,33481,
39418,39605,
1252,52951,
24647,39143,105066
30634,38428,"103544,103545"
26653,26972,78924
18303,41141,
28828,46018,119634
35254,50785,129131
31408,53626,138982
35602,54077,635
3211,28935,"83372,93481,95489,114877,119529"
30828,32455,"90780,91282,92354"
3270,33539,93042
26855,52602,135336
34619,53563,138890
52511,53056,
37794,50511,
1183,32456,"90781,91283,91284,107761,107762,114879"
10092,53601,
35885,55058,"1381,141378"
21969,34593,
36921,50594,128746
36290,54112,"34222,140359"
52784,53788,
16242,34558,
27397,51352,"130963,130964"
31171,34601,
51597,52924,"136517,136518"
