lower,rep_voca_id,merge_voca_ids,add_meaning_ids
aaron,50057,31991,
accommodate,916,"51988,52084,52361",133487
acknowledge,1631,52400,
acquire,1737,52342,
acquisition,7542,"52135,52215,52257,52305",
acron,46321,48224,
adolescent,1266,37610,101573
advanced,2358,29844,
advocate,1521,52362,
after,3820,45606,
agency,742,"52265,52313",133881
agglutination,37867,44564,
agitate,6833,32996,
alive,2212,48238,
allograft,51728,51775,
ally,3812,37536,
although,3810,45596,
alveoloplasty,51647,51779,
amanda,50217,47935,
amazing,2066,36165,
ambiguous,11373,52380,
ambition,1433,48243,
american,33984,338,
anna,50090,27459,
annually,15168,"52184,52225,52273",
apexification,51614,51730,
apicoectomy,51615,51742,
apollo,25779,34011,
apple,3799,"36222,51960",
appreciably,19388,52039,
arabic,22036,36189,98619
arbitrary,2333,52381,
archly,39383,48572,
arctic,16306,29932,
arteriole,44460,44560,
as,1364,45597,
asa,50212,35902,
asian,34002,2059,
aspiring,8859,52075,
ass,9664,45425,
assess,1744,"52023,52401",
assuage,11029,33003,
atlantic,33900,10219,
attrite,39745,28024,
australian,2455,33996,
austrian,34726,33994,
authentic,6310,52420,
autograph,7819,48407,
autonomy,10260,"52211,52253,52301",
baltic,25836,33974,
banking,26896,27788,
become,137,48242,
before,3777,45605,
beguile,20294,33017,
benefit,957,52324,
berlin,25861,33967,
bias,11518,52421,
billing,12947,27784,80829
bobby,50233,30501,86203
bonded,18204,28030,81283
boston,49985,28628,
boulevard,48391,10274,
boundless,12838,52174,
brad,50075,50882,
brady,50062,30567,
brandish,6342,33000,
brazilian,10603,41035,
breathtaking,12017,52175,
british,286,34986,
brown,50207,2007,
brutal,7404,29851,
buddhist,2724,37332,
burden,674,47599,
cadence,16439,52147,
cajole,17271,32999,
calcification,51645,51697,
caleb,50219,32008,
canadian,1314,36192,
capillary,17530,44558,
capitol,7532,35142,
cariogenic,51640,51772,
carnival,9310,9491,
caroline,49959,28399,
carter,49962,41407,
catholic,2363,36482,
centerpiece,13802,"52241,52289",
chat,478,36163,
chinese,2226,35337,
chloe,50045,14534,
circumvent,11638,33016,
civic,30130,20876,
clarify,866,52458,
close-knit,36331,52021,
clot,14159,44555,
cloudy,4593,36234,
cognitive,2281,"52346,52422",
coherent,2328,52382,
collaborate,7360,52402,
collectively,10900,40183,
communist,2215,16736,
compensate,1591,"52325,52365",
complement,1142,"52133,52383",
composite,6424,30378,
conclude,1766,29813,
condemn,1887,52404,
confinement,7314,29821,
confirm,228,"52405,52442",
conform,506,52033,
congratulation,1395,37645,
congress,1078,30106,
