rep_voca_id,merge_voca_ids,add_meaning_ids
2582,"44664",
2798,"37643",
7855,"12483",
4267,"12840",
16997,"29412",
18752,"21111",
22500,"27728",
1081,"27801",
17091,"27826",
4749,"27828",
18373,"28353",
7282,"28590",
6307,"29741,35857",
431,"29795",
2012,"30736",
916,"30800",
5023,"30895",
8423,"31468",
2422,"31485",
27324,"31494",
1936,"31929",
4471,"32077",
10130,"32117",
32263,"36503",
1909,"33359",
1656,"33894",
1550,"34236",
573,"34359",
3285,"34401",
2629,"34458",
611,"34722",
19174,"35166",
1628,"35356",
10600,"35381",
17062,"35417",
551,"35464",
15107,"35531",
3805,"35671",
1961,"35731",
1451,"35752",
12489,"35810",
548,"35833",
1659,"35834",
4564,"35835",
2787,"36005",
9318,"36032",
8293,"36048",
289,"36113",
1424,"36117",
1419,"36262",
2595,"36357",
2591,"36574",
15867,"36700",
1192,"36929",
164,"36976",
2224,"36977",
10739,"36990",
1410,"36996",
4230,"37012",
2707,"37021",
7848,"37031",
10676,"37073",
8632,"37086",
2081,"37087",
3655,"37123",
4027,"37184",
8582,"37185",
2607,"37186,51604",
1140,"37187",
3571,"37203",
3349,"37291",
171,"37339",
2306,"37428",
6693,"37459",
37584,"50633",
3523,"37607",
12475,"37617",
471,"37618",
3708,"37644",
13296,"37686",
5050,"40156",
8297,"40523",
8349,"40863",
6652,"42906",
20962,"43009",
4853,"43825",
19140,"44791",
11016,"45152",
6776,"46016",
2195,"46248",
4013,"47106",
2923,"47613",
9345,"47670",
3448,"48079",
2118,"48316",
20554,"48549",
7761,"48690",
11750,"48909",
17663,"49338",
25786,"50620",
4647,"50632",
20004,"50808",
1630,"50819",
8414,"51427",
10401,"51513",
4986,"51534",
553,"51544",
19172,"51547",
6608,"51652",
13212,"51898",
12030,"53863",
