voca_id,word,reason,has_meaning,in_admin_book,fixed_word,wiktionary
43511,botched.,symbol_orphan,True,False,botched,found
43512,brethren.,symbol_orphan,True,False,brethren,found
34932,defence(se),symbol_orphan,True,False,defence,found
36404,FPS(foot-pound-second),symbol_orphan,True,False,FPS,found
39365,incoherency(n),symbol_orphan,True,False,incoherency,found
35738,instinctively.,symbol_orphan,True,False,instinctively,found
52533,Intensive Care Unit (ICU),symbol_orphan,True,True,Intensive Care Unit,found
43506,jitters.,symbol_orphan,True,False,jitters,found
36403,MKS(meter-kilogram-second),symbol_orphan,True,False,MKS,found
39412,spikes(hair),symbol_orphan,True,False,spikes,found
39361,unnerved(a),symbol_orphan,True,False,unnerved,found
50536,upfront.,symbol_orphan,True,False,upfront,found
43507,whizzkid.,symbol_orphan,True,False,whizzkid,found
52697,Corporate Social Responsibility (CSR),llm_valid_word,True,True,Corporate Social Responsibility,not_found
52695,Customer Relationship Management (CRM),llm_valid_word,True,True,Customer Relationship Management,not_found
52555,Explanation of Benefits (EOB),llm_valid_word,True,True,Explanation of Benefits,not_found
28004,EXW[EX-Work],llm_valid_word,True,False,EXW,not_found
52554,Flexible Spending Account (FSA),llm_valid_word,True,True,Flexible Spending Account,not_found
33890,GB(gigabyte),llm_valid_word,True,False,GB,not_found
43835,go(come)home,llm_valid_word,True,False,go home,not_found
52547,Health Maintenance Organization (HMO),llm_valid_word,True,True,Health Maintenance Organization,not_found
52553,Health Savings Account (HSA),llm_valid_word,True,True,Health Savings Account,not_found
52616,KPI (Key Performance Indicator),llm_valid_word,True,True,KPI,not_found
43494,leaker.,llm_valid_word,True,False,leaker,not_found
40767,metacarpophalangeal[joint],llm_valid_word,True,False,metacarpophalangeal,not_found
52548,Preferred Provider Organization (PPO),llm_valid_word,True,True,Preferred Provider Organization,not_found
51429,psr(s),llm_valid_word,True,False,psr,not_found
52659,Return on Investment (ROI),llm_valid_word,True,True,Return on Investment,
39356,trancelike(a),llm_valid_word,True,False,trancelike,not_found
39355,unrelentingly(adv),llm_valid_word,True,False,unrelentingly,not_found
