voca_id,word,system_dictionary,edit1_suggestions,meaning_count,example_count,legacy_books,admin_books,error_meaning_ids,placeholder_meaning_ids,reversed_example_ids,untagged_example_ids,meanings
994,daywork,yes,,3,0,2,0,,,,,주간 근무 / 주간 작업 / 일급 노무
2889,gastrology,yes,,3,0,1,0,,,,,위학 / 위병학 / 요리학
3144,boilover,yes,,1,0,1,0,,,,,뜻밖의 결과
3161,summiteer,no,,1,0,1,0,,,,,수뇌 회담의 참석자
3894,amphiarthrosis,yes,,1,0,1,0,,,,,반관절
3895,amphibiology,yes,,2,0,1,0,,,,,양서류학 / 양서 동물론
3899,amphibolous,yes,,2,0,3,0,,,,,뜻이 두 가지일 수 있는 / 뜻이 모호한
3900,aclutter,no,aflutter|clutter,2,0,2,0,,,,,몹시 붐벼 / 혼잡하여
3902,hyetal,yes,,3,0,1,0,,,,,비의 / 강우의 / 강우 지역의
3903,hyetograph,yes,,3,0,1,0,,,,,자기 우량계 / 우량 막대 그래프 / 우량도
3904,hyetography,yes,,3,0,1,0,,,,,우량학 / 강수학 / 우량도법
3905,hyetology,yes,,2,0,1,0,,,,,우학 / 강수 현상론
3906,hyetometer,yes,,1,0,1,0,,,,,우량계
3908,hygric,yes,,2,0,1,0,,,,,습기의 / 습성의
3909,hygristor,no,,1,0,1,0,,,,,하이그리스터
3910,hygrogram,no,,1,0,1,0,,,,,습도 자기 기록
3911,hygrometry,yes,,1,0,1,0,,,,,습도 측정
3912,hygrophilous,yes,,3,0,1,0,,,,,습지를 선호하는 / 호습성의 / 습지성의
3916,hygrostat,yes,,3,0,1,0,,,,,항습계 / 습도 조절기 / 항습기
3917,hygrothermograph,yes,,2,0,1,0,,,,,온습도 기록계 / 자기 온습계
3920,hylic,yes,,3,0,1,0,,,,,물질의 / 물질적인 / 형이하학적인
3922,hylomorphic,yes,,2,0,2,0,,,,,질료 형상의 / 영육의
3923,hylomorphism,yes,,1,0,2,0,,,,,질료형상론
3924,hylotheism,yes,,1,0,2,0,,,,,물시신론
3925,hylozoism,yes,,1,0,2,0,,,,,물활론
3936,hymnist,yes,,1,0,1,0,,,,,찬송가 작자
3940,paillette,yes,,2,0,1,0,,,,,번쩍거리는 금속 조각 / 장식용 금속 조각
3955,bejabbers,no,bejabers,3,0,4,0,,,,,이런 / 어머나 / 제기랄
3957,committeeperson,no,,3,0,2,0,,,,,위원장 / 위원 / 지부장
3959,pneumatometer,yes,,1,0,2,0,,,,,폐활량계
3960,pneumatotherapy,yes,,2,0,2,0,,,,,압축 공기 요법 / 공기 요법
3961,pneumodynamics,yes,,2,0,2,0,,,,,공기 역학 / 기학
3966,sponsion,yes,,3,0,2,0,,,,,보증 / 계약 / 무권한 대표에 의한 협정
3967,spontoon,yes,,3,0,2,0,,,,,경찰봉 / 스폰툰 / 단창
3968,committable,yes,,3,0,2,0,,,,,재판에 회부될 수 있는 / 수용할 수 있는 / 위탁할 수 있는
4847,inkfish,yes,,1,0,1,0,,,,,오징어
5198,gleeman,yes,,2,0,1,0,,,,,음유 시인 / 방랑 시인
5523,foofaraw,yes,,3,0,2,0,,,,,하찮은 일로 야단법석을 떨기 / 싸구려 장신구 / 번쩍거리는 싸구려 물건
5739,parge,yes,,1,0,1,0,,,,,줄눈을 바르다
5761,noodlehead,no,,2,0,1,0,,,,,바보 / 멍청이
5868,huzza,yes,,3,0,1,0,,,,,만세 / 만세하고 외치다 / 만세를 외치며 맞이하다
5927,vomity,no,comity|vomit|vomito,2,0,1,0,,,,,토할 것 같은 / 구역질나는
5983,gevalt,no,,4,0,1,0,,,,,오 / 그렇군 / 잠깐 / 어머나
5997,cabbagehead,yes,,3,0,1,0,,,,,양배추의 결구 / 바보 / 멍청이
6138,agley,yes,,3,0,1,0,,,,,비스듬히 / 잘못되어 / 빗나가서
6542,lithotripter,no,lithotriptor,1,0,3,0,,,,,쇄석기
6568,zetz,no,zeta,3,0,1,0,,,,,일격 / 가하다 / 구타
7582,patulin,no,paulin,1,0,1,0,,,,,파툴린
7759,missout,no,,1,0,4,0,,,,,주사위 도박에서 건 돈을 잃는 주사위의 한번 던지기
8161,depicture,yes,,2,0,1,0,,,,,상상하다 / 묘사하다
8221,underemphasize,no,,1,0,1,0,,,,,충분히 강조하지 않다
8222,underemphasis,no,,2,0,1,0,,,,,불충분한 강조 / 강조 부족
8239,extinctive,yes,,3,1,5,0,,,,,소멸적인 / 소멸시키는 / 소멸성의
8318,unfetter,yes,,5,2,10,0,,,,,해방하다 / …의 족쇄를 풀다 / 차꼬를 풀다 / 풀어주다 / 구속을 풀다
8403,reviewal,yes,,3,0,1,0,,,,,비평 / 평론 / 재검토
8422,foreseer,yes,,1,0,1,0,,,,,예견하는 사람
8456,evictor,yes,,1,0,2,0,,,,,쫓아내는 사람
8475,adject,yes,,3,0,3,0,,,,,더하다 / 비참한 / 부가하다
8557,celebutante,no,,2,1,2,0,,,,,유명 인사 / 셀레뷰턴트
8924,officetel,no,,1,0,2,0,,,,,오피스텔
8965,deploringly,yes,,1,0,1,0,,,,,개탄하며
9039,cheerup,no,,2,0,2,0,,,,,힘을 내라! / 힘을 내
9044,notatall,no,,2,0,2,0,,,,,① 전혀 ~아니다 ② 《대답에서》 천만에 / 그렇지 않다
9179,unsewed,yes,,1,0,1,0,,,,,꿰매지 않은
9231,featherheaded,yes,,1,0,1,0,,,,,아주 멍청한
9256,cameist,yes,,3,0,1,0,,,,,보석 조각사 / 카메오 세공사 / 카메오 수집가
9320,pitapat,yes,,3,1,2,0,,,,,두근거려 / 두근두근 / 펄떡거려
9359,unround,yes,,3,0,1,0,,,,,입술을 둥글게 오무리지 않고 발음하다 / 옆으로 열다 / 비원순의
9701,button-down,yes,,1,0,1,0,,,,,버튼다운의 셔츠
9799,hellohellohello,no,,2,0,1,0,,,,,《美》 《익살》 어어! / 뭐라고!(*경찰관이 무언가 이상한 것을 발견했을 때의 말)
9835,deoxyribonuclease,no,,1,0,1,0,,,,,디옥시리보뉴클레아제
9867,bang into,yes,,1,0,1,0,,,,,① ~와 꽝 하고 충돌하다 ②[사람]과 우연히 만나다
9871,sockdolager,yes,,3,0,1,0,,,,,최후의 일격 / 엄청나게 큰 것 / 결정적인 대답
9875,shoot up,yes,,2,0,1,0,,,,,① 급속히 성장하다 ② 우뚝 솟다 ③ (물가가) 급등하다 / 뛰어오르다; (생산(량) 따위가) 늘다 ④ 마구 쏘아대다; 《구어》 총을 난사하여 위협하다 ⑤ (마약을) 주사하다
9876,brush off,yes,,3,0,1,0,,,,,① ~을 털어버리다 / 치우다 ②~을 무시하다; 해고하다 ③ 《구어》 ~와의 관계를 끊다 / ~을 외면하다
9878,make sense,yes,,3,0,3,0,,,,,말이 되다 / (어떤 일이) 사리에 맞다; (표현·행동 따위가) 의미를 지니다 / 이해할 수 있다
10056,drughead,no,drumhead,1,0,1,0,,,,,중증의 마약 중독자
10057,grouty,yes,,3,0,1,0,,,,,불쾌한 / 심술궂은 / 거친
10214,overdevelop,yes,,2,0,2,0,,,,,지나치게 발달시키다 / 지나치게 현상하다
10223,eco-resort,no,,1,0,1,0,,,,,자연친화적 리조트
10520,elbow room,yes,,3,0,1,0,,,,,자유 / 자유롭게 움직일 수 있을 만한 공간 / 충분한 여유
10855,abashedly,yes,,1,0,2,0,,,,,당황하여
10878,boozehound,no,,3,0,2,0,,,,,술고래 / 모주꾼 / 대주가
10989,soliloquist,yes,,2,0,1,0,,,,,혼잣말하는 사람 / 독백하는 사람
11322,sacralize,no,,1,0,1,0,,,,,신성하게 하다
