ancester	조상	NOUN
Arranges	정리하다, 준비하다	VERB
ashen-face	창백한, 핏기 없는	ADJ
Aviculidae	진주조개과	NOUN
befouling	더럽히는, 오염시키는	ADJ
brandishing	휘두르는	ADJ
celling	천장	NOUN
chicer	더 세련된	ADJ
daubed	서투르게 칠해진	ADJ
dentulous	이가 있는	ADJ
dismounted	내리다, 하차하다	VERB
ecb	유럽중앙은행	NOUN
EMC	전자파 적합성	NOUN
father-in-low	시아버지, 장인	NOUN
fule-scale	실물 크기의, 전면적인	ADJ
hard-carved	손으로 조각한, 수제 조각의	ADJ
hauled	끌어당기다, 운반하다	VERB
home-body	집에 있기를 좋아하는 사람	NOUN
kepies	케피(프랑스식 군모)	NOUN
lacewings	풀잠자리	NOUN
legal↔illegal	합법적인, 불법적인	ADJ
limoncello-based	리몬첼로를 기반으로 한	ADJ
longhaul	장거리의, 장기적인	ADJ
molass	당밀	NOUN
mother-in-low	시어머니, 장모	NOUN
No.5	...번, 제...호	NOUN
obscured	가려진, 흐릿해진	ADJ
occipito-atlanto-axial	후두-환추-축추의	ADJ
parentage	가문, 태생, 혈통	NOUN
plunged	뛰어들다, 급락하다	VERB
poruwa	포루와(스리랑카 전통 결혼식 단상)	NOUN
raindrops	빗방울	NOUN
relived	다시 체험하다, 되살리다	VERB
self-complacent	자기만족적인	ADJ
sock-puppet	가짜 계정, 위장 신원	NOUN
son-in-low	사위	NOUN
speckling	얼룩덜룩한, 반점이 있는	ADJ
squinted	눈을 가늘게 뜬	ADJ
stiff-legged	다리가 뻣뻣한	ADJ
strutt	거들먹거리며 걷다, 활보하다	VERB
torper	무기력, 휴면 상태	NOUN
trois	셋, 3(프랑스어)	NUM
versu	대(對), ~대	ADP
voyance	천리안, 투시력	NOUN
water-oak	물참나무	NOUN
whimp	겁쟁이, 약골	NOUN
yuzu	유자	NOUN
