headword,pos,CEFR
a,determiner,A1
a.m.,adverb,A1
A.M.,adverb,A1
abandon,verb,B1
abandoned,adjective,B2
ability,noun,A2
able,adjective,B1
abnormal,adjective,B1
abnormally,adverb,B2
aboard,adverb,B1
abolish,verb,B2
aboriginal,adjective,B2
aborigine,noun,B1
about,adverb,A1
about,preposition,A1
above,adjective,B1
above,adverb,A1
above,preposition,A1
abroad,adverb,A2
abruptly,adverb,B2
absence,noun,B1
absent,adjective,B1
absentee,noun,B2
absolute,adjective,B1
absolutely,adverb,B1
absorb,verb,B1
abstract,adjective,B1
absurd,adjective,B2
abundance,noun,B1
abundant,adjective,B1
abuse,noun,B2
academic,adjective,B1
academy,noun,B1
accent,noun,B1
accept,verb,A2
acceptable,adjective,A2
acceptance,noun,B1
access,noun,B1
access,verb,B2
accessibility,noun,B2
accessible,adjective,B1
accessory,noun,B1
accident,noun,A2
accidental,adjective,B1
accidentally,adverb,B1
accommodation,noun,B2
accompany,verb,B1
accomplish,verb,B1
according to,preposition,B1
accordingly,adverb,B2
account,noun,A2
account,verb,B1
accountant,noun,B1
accumulate,verb,B2
accuracy,noun,B1
accurate,adjective,B1
accurately,adverb,B1
accusation,noun,B2
accuse,verb,B1
accustom,verb,B1
ache,noun,B1
ache,verb,B2
achievable,adjective,B2
achieve,verb,A2
achievement,noun,B1
acid,noun,B2
acknowledge,verb,B1
acknowledgement,noun,B1
acknowledgment,noun,B1
acquaintance,noun,B1
acquire,verb,B1
acquisition,noun,B2
across,adverb,A2
across,preposition,A2
act,noun,A2
act,verb,B1
action,noun,A1
active,adjective,B1
actively,adverb,B2
activity,noun,A1
actor,noun,A1
actress,noun,B1
actual,adjective,B2
actually,adverb,A2
acute,adjective,B2
ad,noun,B1
adapt,verb,B1
adaptable,adjective,B2
add,verb,A1
addict,noun,B2
addicted,adjective,B2
addiction,noun,B2
addition,noun,A2
additional,adjective,A2
additionally,adverb,B2
address,noun,A1
address,verb,B1
addressee,noun,B1
adequate,adjective,B2
adequately,adverb,B2
adjective,noun,A2
adjust,verb,A2
adjustment,noun,B2
administration,noun,B1
administrative,adjective,B2
admirable,adjective,B2
admiration,noun,B1
admire,verb,A2
admiringly,adverb,B2
admission,noun,B1
admit,verb,A2
admittedly,adverb,B2
adopt,verb,B1
adopted,adjective,B2
adoption,noun,B2
adorable,adjective,B1
adore,verb,B2
adorn,verb,B2
adult,adjective,A2
adult,noun,A2
advance,noun,B2
advance,verb,B1
advanced,adjective,A2
advancement,noun,B2
advantage,noun,A2
advent,noun,B2
adventure,noun,A2
adventurous,adjective,B2
adverb,noun,B1
adverbial,adjective,B1
adverse,adjective,B2
